Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
UC Santa Cruz Students Study On Campus Water Use Impact,Feb 23 2014 - 5:56pm,"March 11, 2014","University of California, Santa Cruz",,"January 23, 2014",http://ucscsustainability.blogspot.com/2014/01/class-studies-water-conservation.html,"As a result of the Marine Conservation class' recent research of on-campus water usage and the local watershed, a behavior change experiment was implemented to test the hypothesis that direct approaches to behavior change would have a more positive result on reducing water consumption.",Research
Ten Schools Selected to Compete in Energy Dept Wind Competition,Mar 17 2014 - 9:51am,"March 18, 2014",,U.S. Department of Energy,"January 23, 2014",http://www1.eere.energy.gov/wind/news_detail.html?news_id=21226,"The Collegiate Wind Competition, which aims to cultivate wind-specific interests and skills, will feature 10 teams of students who will design and construct lightweight, portable wind turbines intended to power small electronic devices. During the competition event, teams will present on current market drivers and deployment opportunities for the wind industry, pitch their business plans, and put their turbines to the test in an on-site wind tunnel. The 10 selected schools are Boise State University, California Maritime Academy, Colorado School of Mines, James Madison University, Kansas State University, Northern Arizona University, Pennsylvania State University, University of Alaska Fairbanks, University of Kansas and University of Massachusetts at Lowell.",Co-Curricular Education & Student Organizing
Oklahoma State U Saves $30M Through Energy Efficiency,Jan 28 2014 - 7:07am,"February 4, 2014",Oklahoma State University,,"January 24, 2014",https://news.okstate.edu/press-releases/2531-oklahoma-state-university-surpasses-30-million-in-energy-savings,"Since 2007, the university recently announced that through its behavior-based energy conservation program the five university campuses have exceeded the target savings goal by $10 million.",Energy
Southern Oregon U Holds Inaugural Social Justice Conference,Feb 3 2014 - 10:53am,"February 4, 2014",Southern Oregon University,,"January 25, 2014",http://siskiyou.sou.edu/2014/01/25/mrc-hosts-social-justice-conference/,"With 'race' as the university's 2013-14 theme, the two-day conference, organized by the Multicultural Resource Center, provided a safe and structured environment to explore issues related to social justice.",Diversity & Inclusion
Stella Maris College Installs 50KW Solar System,Feb 3 2014 - 10:23am,"February 25, 2014",,Stella Maris College,"January 26, 2014",http://www.thehindu.com/news/cities/chennai/stella-maris-goes-green-with-solar-power-plant/article5618153.ece,"(India): Aligned with the state government's solar policy, mandating colleges to construct renewable energy, the college's new 50-kilowatt, 200 panel system will provide six percent of the school's current energy use.",Energy
Temple U Researchers to Analyze Impacts of Water Infrastructure,Feb 3 2014 - 11:07am,"February 11, 2014",Temple University,,"January 27, 2014",http://news.temple.edu/news/2014-01-27/epa-grant-evaluate-urban-stormwater-management-controls,"With nearly one dozen new or under-construction stormwater control measures, university researchers will focus on the environmental, economic and social impacts of implementing the controls to deal with stormwater runoff issues in urban environments.",Research
North Carolina State U Begins Collection of Used Oil,Feb 4 2014 - 5:50pm,"February 11, 2014",North Carolina State University,,"January 27, 2014",http://sustainability.ncsu.edu/sustain-office/new-campus-recycling-program-to-convert-kitchen-grease-to-biofuel,"A recent partnership between University Housing and the Office of Waste Reduction and Recycling resulted in Cease the Grease, an effort to collect used cooking oil from two residential areas, which will then be converted into biodiesel fuel.",Energy
SUNY Purchase Cuts Ribbon on Composting System,Feb 5 2014 - 4:30pm,"February 11, 2014",State University of New York at Purchase,,"January 27, 2014",http://news.hamlethub.com/rivertowns/neighbors/257-purchase-college-exemplifies-sustainability-on-campus-with-new-rocket-composter-1391204797,The new large-scale system composts food waste from the food court and the on-campus coffee shop with plans to collect additional waste from other dining facilities as the operation gets underway.,Waste
EPA Releases Quarterly List of Top 30 Green Power Partners,Feb 17 2014 - 7:41pm,"February 18, 2014",U.S. Environmental Protection Agency,,"January 27, 2014",http://www.epa.gov/greenpower/toplists/top30ed.htm,"The latest quarterly report from the U.S. Environmental Protection Agency highlights the top 20 colleges and universities using power from renewable energy. They are University of Pennsylvania, University of Oklahoma, Carnegie Mellon University, Georgetown University, Oklahoma State University, Drexel University, Northwestern University, University of Utah, University of Phoenix, University of Tennessee at Knoxville, University at Buffalo, University of Wisconsin, The City University of New York, American University, University of Missouri, Texas A&M System, The Catholic University of America, Western Washington University, Quinnipiac University, University of St. Thomas, Santa Clara University, University of Central Oklahoma, Bentley University, Syracuse University, St. Mary's College of Maryland, Indiana University-Purdue University Indianapolis, Adelphi University, Union College and Columbia College at Chicago.",Assessments & Ratings
Wesleyan U Coffee Shop to Promote Community Building,Feb 23 2014 - 4:35pm,"February 25, 2014",Wesleyan University,,"January 27, 2014",http://wesleyanargus.com/2014/01/27/espwesso/,"(United States): Attempting to provide a space for student-faculty conversations, the on-campus coffee shop recently submitted a proposal to expand the shop's current hours to include daytime hours.",Co-Curricular Education & Student Organizing
