Title,Post date,Date; time,Issues,Institution(s),Other Organization(s),URL,Body,All terms
Virtual Conference: 2011 Smart and Sustainable Campuses,2011-03-31,"April 5, 2011; 10:00 a.m. Eastern",04/04/2011,,,http://www.nacubo.org/Distance_Learning/Virtual_Event_-_Smart_and_Sustainable_Campuses_Conference.html,"Those not attending the 2011 Smart and Sustainable Campuses Conference in person can register for the virtual event, to take place in conjunction with the live event. Using an online platform, registrants can download three general sessions, four bonus webcasts, session podcasts and moderated chats. One campus registrant allows everyone else on that campus sign up for free. Once registered, content will be available for 90 days.",Events
CURC Webinar: Equipment for Efficient Recycling Operations,2011-03-23,"April 7, 2011; 1:00 - 2:30 p.m. Eastern",03/28/2011,,College & University Recycling Coalition,https://www1.gotomeeting.com/register/137978784,"In this webinar from the College & University Recycling Coalition (CURC), presenters will delve into how campuses can select the right recycling equipment on a tight or non-existent budget. Moderated by BJ Tipton, solid waste program manager at the University of North Carolina at Chapel Hill, three speakers will use real schools and real examples to address the questions that program coordinators ask when trying to take recycling programs to the next level.",Events
"Going Green Campus Webinar: Small Steps, Big Impact",2011-03-24,"April 7, 2011; 2:00 - 3:00 p.m. Eastern",03/28/2011,,,https://promediagrp-events.webex.com/mw0306lc/mywebex/default.do?nomenu=true&siteurl=promediagrp-events&service=6&main_url=https%3A%2F%2Fpromediagrp-events.webex.com%2Fec0605lc%2Feventcenter%2Fevent%2FeventAction.do%3FtheAction%3Ddetail%26confViewID%3D279,"This University Business webinar will explore institutions' efforts toward clean energy, energy efficiency, environmentally friendly production and the conservation and reduction of waste materials. The discussion will include techniques in reducing and managing the demand for energy; cost savings realized in replacing equipment with Energy-Star rated equivalents; results of pilot programs at institutions incorporating green computing; tips for educating your campus and office communities on the benefits of being green; and resources available to assist institutions in going green.",Events
2011 EAUC Conference for Higher Ed Sustainability in the UK,2011-03-1,"April 11-13, 2011",March 2011 (Global Edition),,,http://www.eauc.org.uk/annual_conference,"The Environmental Association for Universities and Colleges (EAUC) will host its 15th annual conference at the University of York (UK). Designed by its members, the conference is geared toward sustainability professionals at higher education institutions throughout the United Kingdom. The event will feature keynote speakers including Ellen MacArthur of the Ellen MacArthur Foundation, networking sessions and three conference sustainability strands including ""Inspire Operations,"" ""Inspire People"" and ""Inspire Estates.""",Events
School & College Building Expo,2011-02-3,"April 12-14, 2011",02/07/2011,,School & College Building Expo,http://scbexpo.com/,"For people who plan, design, construct, retrofit and manage public and private educational facilities, this event will explore sustainable and green trends through more than 30 educational sessions, keynotes and an exhibit hall. This conference will also host the spring meeting of the American Institute of Architect's Committee on Architecture for Education.",Events
2011 NWF 'Chill Out' Webcast,2011-03-17,"April 13, 2011; 9:00 a.m. Eastern",04/11/2011 03/21/2011,,,http://online.nwf.org/site/Calendar?id=104981&view=Detail,"The National Wildlife Federation will feature the winners of this year's ""Chill Out: Climate Action on Campus,"" a competition showcasing campus-based climate action, during a free webcast that can be shown on campus. The webcast will be 30 minutes long and will feature students, faculty and staff making a difference on campus. The time the webcast is shown is flexible; it will be available by 9 a.m. Eastern on April 13.",Events
Energy Action Coalition Power Shift 2011 Conference,2011-02-3,"April 15-18, 2011",02/07/2011,,,http://energyactioncoalition.org/powershift2011,"Energy Action Coalition, a coalition of 50 youth-led environmental and social justice groups, will mobilize at the Washington Convention Center for Power Shift 2011 in an effort to create bold steps toward a clean energy economy. The event is a chance to come together behind new campaigns, support community projects and participate in a lobby day. The coalition has opportunities for Power Shift coordinators and Steering Committee members.",Events
STARS Webinar: Maximizing Your Institution's STARS Experience,2011-04-6,"April 19, 2011; 2:00 - 3:00 p.m. Eastern",04/11/2011,,,https://stars.aashe.org/pages/news-events/stars-webinars/,"For STARS Participants, or those interested in registering with STARS, this webinar will include tips for getting the most out of being a STARS Participant, answers to the most commonly asked STARS questions, and provide insight into the future of the STARS Program. The webinar will also review STARS resources.",Events
Academic Impressions Parking & Transportation Webinar,2011-01-24,"April 20, 2011: 1:00 - 2:30 p.m. Eastern",04/04/2011,,,http://www.academicimpressions.com/events/event_listing.php?i=1087&q=7333v274891yT,"Academic Impressions will host ""Parking and Transportation: Cutting Costs with the Right Mix"" on April 20 and April 27 at 1:00 p.m. Eastern. The webinar will examine how to quantify the true costs of parking and transportation alternatives to determine the right mix of transportation options. The information is designed for professionals from parking and transportation, campus security or public safety, campus planning or facilities management who are thinking of moving forward with new parking construction, replacing existing parking spaces or implementing alternative transportation options.",Events
AASHE/EPA Webinar: Campus Green Revolving Funds,2011-03-23,"April 20, 2011: 1:00 - 2:00 p.m. Eastern",04/18/2011 04/04/2011,,,http://www.epa.gov/greenpower/events/20apr11_webinar.htm,"AASHE is partnering with the U.S. Environmental Protection Agency's Green Power Partnership to present the webinar, ""Greening the Bottom Line: How Campus Green Revolving Funds are Saving Energy and Money."" As colleges and universities face steep budget cuts and unstable energy costs, many institutions are grappling with how to finance urgently needed energy efficiency upgrades on campus when operating and capital funds are scarce. This webinar will cover innovative approaches like using return-oriented green revolving funds.",Events
